image_id,path,true_label,true_class,pred_label,pred_class,pred_probability,correct,target_class_mode,target_label,target_class,original_path,attention_path,heatmap_path,manual_focus_local_detail,manual_focus_bird_body,manual_focus_background,manual_notes
11242,data\raw\CUB_200_2011\images\191.Red_headed_Woodpecker\Red_Headed_Woodpecker_0016_183007.jpg,190,191.Red_headed_Woodpecker,190,191.Red_headed_Woodpecker,0.9999967813491821,True,predicted,190,191.Red_headed_Woodpecker,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\011_correct_image11242_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\011_correct_image11242_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\011_correct_image11242_attention_heatmap.npy,,,,
3845,data\raw\CUB_200_2011\images\067.Anna_Hummingbird\Anna_Hummingbird_0098_56388.jpg,66,067.Anna_Hummingbird,66,067.Anna_Hummingbird,0.9999964237213135,True,predicted,66,067.Anna_Hummingbird,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\012_correct_image3845_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\012_correct_image3845_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\012_correct_image3845_attention_heatmap.npy,,,,
7201,data\raw\CUB_200_2011\images\123.Henslow_Sparrow\Henslow_Sparrow_0002_116930.jpg,122,123.Henslow_Sparrow,123,124.Le_Conte_Sparrow,0.9999986886978149,False,predicted,123,124.Le_Conte_Sparrow,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\013_wrong_image7201_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\013_wrong_image7201_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\013_wrong_image7201_attention_heatmap.npy,,,,
7652,data\raw\CUB_200_2011\images\131.Vesper_Sparrow\Vesper_Sparrow_0013_109937.jpg,130,131.Vesper_Sparrow,75,076.Dark_eyed_Junco,0.9999691247940063,False,predicted,75,076.Dark_eyed_Junco,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\014_wrong_image7652_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\014_wrong_image7652_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\014_wrong_image7652_attention_heatmap.npy,,,,
6373,data\raw\CUB_200_2011\images\109.American_Redstart\American_Redstart_0087_103371.jpg,108,109.American_Redstart,20,021.Eastern_Towhee,0.9998036026954651,False,predicted,20,021.Eastern_Towhee,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\015_wrong_image6373_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\015_wrong_image6373_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\015_wrong_image6373_attention_heatmap.npy,,,,
275,data\raw\CUB_200_2011\images\005.Crested_Auklet\Crested_Auklet_0075_785259.jpg,4,005.Crested_Auklet,7,008.Rhinoceros_Auklet,0.9995673298835754,False,predicted,7,008.Rhinoceros_Auklet,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\016_wrong_image275_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\016_wrong_image275_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\016_wrong_image275_attention_heatmap.npy,,,,
7164,data\raw\CUB_200_2011\images\123.Henslow_Sparrow\Henslow_Sparrow_0018_116834.jpg,122,123.Henslow_Sparrow,123,124.Le_Conte_Sparrow,0.9995222091674805,False,predicted,123,124.Le_Conte_Sparrow,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\017_wrong_image7164_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\017_wrong_image7164_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\017_wrong_image7164_attention_heatmap.npy,,,,
2461,data\raw\CUB_200_2011\images\043.Yellow_bellied_Flycatcher\Yellow_Bellied_Flycatcher_0008_42703.jpg,42,043.Yellow_bellied_Flycatcher,37,038.Great_Crested_Flycatcher,0.9994338154792786,False,predicted,37,038.Great_Crested_Flycatcher,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\018_wrong_image2461_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\018_wrong_image2461_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\018_wrong_image2461_attention_heatmap.npy,,,,
10509,data\raw\CUB_200_2011\images\179.Tennessee_Warbler\Tennessee_Warbler_0071_175084.jpg,178,179.Tennessee_Warbler,153,154.Red_eyed_Vireo,0.99941086769104,False,predicted,153,154.Red_eyed_Vireo,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\019_wrong_image10509_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\019_wrong_image10509_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\019_wrong_image10509_attention_heatmap.npy,,,,
10794,data\raw\CUB_200_2011\images\184.Louisiana_Waterthrush\Louisiana_Waterthrush_0042_177551.jpg,183,184.Louisiana_Waterthrush,182,183.Northern_Waterthrush,0.9992377758026123,False,predicted,182,183.Northern_Waterthrush,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\020_wrong_image10794_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\020_wrong_image10794_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\020_wrong_image10794_attention_heatmap.npy,,,,
1672,data\raw\CUB_200_2011\images\030.Fish_Crow\Fish_Crow_0076_25971.jpg,29,030.Fish_Crow,28,029.American_Crow,0.9990112781524658,False,predicted,28,029.American_Crow,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\021_wrong_image1672_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\021_wrong_image1672_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\021_wrong_image1672_attention_heatmap.npy,,,,
812,data\raw\CUB_200_2011\images\015.Lazuli_Bunting\Lazuli_Bunting_0045_14954.jpg,14,015.Lazuli_Bunting,13,014.Indigo_Bunting,0.9973798394203186,False,predicted,13,014.Indigo_Bunting,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\022_wrong_image812_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\022_wrong_image812_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\022_wrong_image812_attention_heatmap.npy,,,,
1827,data\raw\CUB_200_2011\images\033.Yellow_billed_Cuckoo\Yellow_Billed_Cuckoo_0045_26685.jpg,32,033.Yellow_billed_Cuckoo,37,038.Great_Crested_Flycatcher,0.996968686580658,False,predicted,37,038.Great_Crested_Flycatcher,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\023_wrong_image1827_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\023_wrong_image1827_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\023_wrong_image1827_attention_heatmap.npy,,,,
9783,data\raw\CUB_200_2011\images\167.Hooded_Warbler\Hooded_Warbler_0039_164928.jpg,166,167.Hooded_Warbler,179,180.Wilson_Warbler,0.9968024492263794,False,predicted,179,180.Wilson_Warbler,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\024_wrong_image9783_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\024_wrong_image9783_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\024_wrong_image9783_attention_heatmap.npy,,,,
